01	6:07:27	18:53:43
02	6:05:43	18:54:52
03	6:03:59	18:56:01
04	6:02:15	18:57:10
05	6:00:32	18:58:18
06	5:58:49	18:59:27
07	5:57:07	19:00:36
08	5:55:25	19:01:45
09	5:53:43	19:02:53
10	5:52:02	19:04:02
11	5:50:22	19:05:11
12	5:48:42	19:06:19
13	5:47:02	19:07:28
14	5:45:24	19:08:37
15	5:43:45	19:09:46
16	5:42:08	19:10:54
17	5:40:32	19:12:03
18	5:38:56	19:13:12
19	5:37:21	19:14:21
20	5:35:46	19:15:30
21	5:34:13	19:16:38
22	5:32:41	19:17:47
23	5:31:09	19:18:56
24	5:29:38	19:20:05
25	5:28:09	19:21:13
26	5:26:40	19:22:22
27	5:25:13	19:23:31
28	5:23:46	19:24:39
29	5:22:21	19:25:47
30	5:20:57	19:26:55
