01	7:59:07	18:21:28
02	8:00:22	18:20:10
03	8:01:37	18:18:54
04	8:02:53	18:17:40
05	8:04:08	18:16:27
06	8:05:24	18:15:15
07	8:06:40	18:14:06
08	8:07:55	18:12:58
09	8:09:11	18:11:51
10	8:10:27	18:10:46
11	8:11:42	18:09:44
12	8:12:58	18:08:43
13	8:14:13	18:07:43
14	8:15:28	18:06:46
15	8:16:43	18:05:51
16	8:17:57	18:04:57
17	8:19:12	18:04:06
18	8:20:26	18:03:16
19	8:21:39	18:02:29
20	8:22:52	18:01:43
21	8:24:05	18:01:00
22	8:25:17	18:00:19
23	8:26:28	17:59:40
24	8:27:39	17:59:04
25	8:28:49	17:58:29
26	8:29:59	17:57:57
27	8:31:07	17:57:27
28	8:32:15	17:57:00
29	8:33:21	17:56:35
30	8:34:27	17:56:12
