01	8:39:26	18:41:04
02	8:38:22	18:42:23
03	8:37:17	18:43:42
04	8:36:10	18:45:01
05	8:35:01	18:46:20
06	8:33:50	18:47:39
07	8:32:38	18:48:58
08	8:31:25	18:50:17
09	8:30:10	18:51:36
10	8:28:53	18:52:55
11	8:27:35	18:54:14
12	8:26:16	18:55:32
13	8:24:55	18:56:50
14	8:23:33	18:58:09
15	8:22:10	18:59:26
16	8:20:46	19:00:44
17	8:19:20	19:02:02
18	8:17:53	19:03:19
19	8:16:25	19:04:36
20	8:14:56	19:05:53
21	8:13:26	19:07:09
22	8:11:55	19:08:25
23	8:10:23	19:09:41
24	8:08:50	19:10:57
25	8:07:17	19:12:12
26	8:05:42	19:13:27
27	8:04:06	19:14:42
28	8:02:30	19:15:57
29	8:02:30	19:15:57
