01	5:16:52	19:49:16
02	5:17:54	19:48:06
03	5:18:57	19:46:54
04	5:20:00	19:45:40
05	5:21:03	19:44:25
06	5:22:06	19:43:08
07	5:23:10	19:41:50
08	5:24:14	19:40:31
09	5:25:18	19:39:11
10	5:26:22	19:37:49
11	5:27:27	19:36:25
12	5:28:31	19:35:01
13	5:29:36	19:33:35
14	5:30:40	19:32:09
15	5:31:45	19:30:41
16	5:32:50	19:29:12
17	5:33:55	19:27:41
18	5:34:59	19:26:10
19	5:36:04	19:24:38
20	5:37:09	19:23:05
21	5:38:14	19:21:31
22	5:39:19	19:19:56
23	5:40:23	19:18:20
24	5:41:28	19:16:43
25	5:42:33	19:15:06
26	5:43:37	19:13:28
27	5:44:42	19:11:49
28	5:45:46	19:10:09
29	5:46:51	19:08:29
30	5:47:55	19:06:48
31	5:49:00	19:05:06
