01	6:59:07	17:21:28
02	7:00:22	17:20:10
03	7:01:37	17:18:54
04	7:02:53	17:17:40
05	7:04:08	17:16:27
06	7:05:24	17:15:15
07	7:06:40	17:14:06
08	7:07:55	17:12:58
09	7:09:11	17:11:51
10	7:10:27	17:10:46
11	7:11:42	17:09:44
12	7:12:58	17:08:43
13	7:14:13	17:07:43
14	7:15:28	17:06:46
15	7:16:43	17:05:51
16	7:17:57	17:04:57
17	7:19:12	17:04:06
18	7:20:26	17:03:16
19	7:21:39	17:02:29
20	7:22:52	17:01:43
21	7:24:05	17:01:00
22	7:25:17	17:00:19
23	7:26:28	16:59:40
24	7:27:39	16:59:04
25	7:28:49	16:58:29
26	7:29:59	16:57:57
27	7:31:07	16:57:27
28	7:32:15	16:57:00
29	7:33:21	16:56:35
30	7:34:27	16:56:12
